"pid","sale_price","sale_date","sale_price_2009","sale_date_2009","total_2024","total_2023"
12456,215000,2018-07-23,NA,NA,211470,139230
12457,0,2025-06-27,NA,NA,213780,140630
12458,195000,2019-08-05,NA,NA,220920,147840
12459,190500,2013-12-19,NA,NA,243390,163100
12460,0,2021-07-14,NA,NA,229390,142870
12461,0,1989-08-31,NA,NA,240450,150710
12462,270000,2004-03-23,NA,NA,244860,159320
12463,0,2014-09-17,NA,NA,226940,150080
12464,289000,2019-08-21,NA,NA,268520,185360
12465,130000,2016-10-07,NA,NA,224980,143220
12466,202500,2014-04-21,NA,NA,212870,138180
12467,245000,2021-05-10,NA,NA,214270,141330
12468,150000,1997-05-15,NA,NA,244160,154770
12469,250000,2019-12-30,NA,NA,229040,168070
12470,160000,1990-08-01,NA,NA,243950,155610
12471,236000,2015-12-01,NA,NA,225400,143010
12472,338000,2021-05-18,NA,NA,223930,141750
12473,1,2003-09-11,NA,NA,239610,151060
12474,113843,1994-02-07,NA,NA,262500,159740
12475,184900,2017-05-03,NA,NA,232610,157080
12476,225000,2012-06-27,NA,NA,228340,145600
12477,233500,2018-06-27,NA,NA,247800,159460
12478,75000,2019-08-30,NA,NA,115220,58240
12479,64000,2016-11-08,NA,NA,100730,51520
12480,65000,2017-07-06,NA,NA,104580,53410
12481,147000,2022-12-01,NA,NA,96670,50470
12482,112000,2003-12-30,NA,NA,102270,50890
12483,90000,2021-06-16,NA,NA,104580,53410
12484,97000,2021-08-19,115000,2009-12-24,95340,50610
12485,107000,2009-09-02,107000,2009-09-02,98490,51100
12486,58000,2013-07-19,NA,NA,104160,55230
12487,117000,2007-02-06,NA,NA,99190,52710
12488,144000,2025-05-20,NA,NA,98490,51100
12489,91900,2002-12-06,NA,NA,95340,50610
12490,72000,2016-11-18,NA,NA,101780,44520
12491,140000,2022-10-03,114000,2009-07-09,101780,54040
12492,92250,2004-04-30,NA,NA,100380,53340
12493,139900,2005-05-10,NA,NA,101780,54040
12494,89000,2018-07-19,NA,NA,104790,51800
12495,58000,2016-11-30,NA,NA,98000,49980
12496,123000,2008-12-24,NA,NA,101290,50470
12497,119000,2009-05-28,119000,2009-05-28,104580,53410
12498,55000,1994-08-31,NA,NA,101290,50470
12499,74500,2021-06-24,NA,NA,104580,53410
12500,136000,2023-10-16,NA,NA,107870,54530
12501,147000,2023-06-08,NA,NA,112280,53410
12502,142000,2023-02-06,NA,NA,104580,53410
12503,60000,2013-02-13,NA,NA,98910,51660
12504,135000,2023-05-10,NA,NA,104440,50470
12505,70000,2001-09-20,NA,NA,104580,53410
12506,85000,2021-01-12,NA,NA,92260,47880
12507,82500,2003-02-21,NA,NA,101780,54040
12508,88300,2020-01-02,NA,NA,105560,58590
12509,139000,2023-05-17,NA,NA,102270,54320
12510,81500,2015-04-24,NA,NA,98490,51100
12511,90250,2020-10-19,NA,NA,98210,52220
12512,168000,2025-05-13,NA,NA,98490,51100
12513,135000,2022-06-21,NA,NA,101780,54040
12514,78500,2004-11-03,NA,NA,100380,54040
12515,81000,2021-03-10,NA,NA,105070,56980
12516,112000,2023-04-04,NA,NA,107870,54530
12517,62301,2018-01-03,NA,NA,96670,49350
12518,176000,2025-05-02,NA,NA,101290,50470
12519,97000,2013-07-16,NA,NA,101290,50470
12520,30000,2018-06-11,NA,NA,104580,53410
12521,60000,1999-07-12,NA,NA,107870,56350
12522,59550,2016-08-22,NA,NA,107870,54530
12523,147000,2024-04-26,NA,NA,98000,49980
12524,145500,2022-09-15,NA,NA,101290,50470
12525,85000,2002-09-04,NA,NA,101290,50470
12526,116130,2023-07-17,NA,NA,101290,50470
12527,53500,2015-12-21,NA,NA,101290,50470
12528,130000,2024-10-31,NA,NA,95340,50610
12529,51000,1993-06-28,NA,NA,100380,53340
12530,72000,2012-07-23,NA,NA,100380,53340
12531,62000,2015-09-18,NA,NA,101780,54040
12532,139500,2023-06-22,NA,NA,100380,53340
12533,101000,2021-08-05,NA,NA,92260,47880
12534,148625,2024-04-02,NA,NA,98490,51100
12535,128000,2023-02-23,NA,NA,101780,54040
12536,64000,2020-08-14,NA,NA,101780,54040
12537,1e+05,2022-09-30,NA,NA,101780,54040
12538,134600,2022-08-30,NA,NA,95340,50610
12539,60000,2011-05-25,NA,NA,101780,54040
12540,83000,2020-04-09,NA,NA,105070,56980
12541,99000,2021-08-17,NA,NA,105070,56980
12542,140000,2022-06-22,NA,NA,97580,51100
12543,26000,1998-07-02,NA,NA,95340,50610
12544,91000,2019-07-26,NA,NA,104160,58170
12545,60000,2016-06-07,NA,NA,101780,54040
12546,62500,2016-11-08,NA,NA,101780,54040
12547,68000,2016-12-16,NA,NA,105070,56980
12548,90000,2021-11-30,NA,NA,104790,51800
12549,64000,2016-03-07,NA,NA,94920,47250
12550,68000,2014-02-07,NA,NA,104580,53410
12551,56500,2000-01-27,NA,NA,104580,53410
12552,120750,2009-01-29,120750,2009-01-29,103950,50470
12553,74500,2001-11-13,NA,NA,104580,53410
12554,113500,2008-08-22,NA,NA,104790,51800
12555,70000,2018-09-21,NA,NA,98000,49980
12556,137000,2005-10-12,NA,NA,104580,53410
12557,143000,2005-12-01,NA,NA,101290,50470
12558,132000,2022-10-03,NA,NA,97440,50470
12559,43900,1999-02-11,NA,NA,92260,47880
12560,135000,2008-04-17,NA,NA,104160,55230
12561,40500,1995-04-10,NA,NA,101780,54040
12562,137500,2023-02-16,NA,NA,101780,54040
12563,134000,2006-12-14,NA,NA,101780,54040
12564,135000,2022-08-25,NA,NA,95340,50610
12565,80000,2011-06-10,NA,NA,101780,54040
12566,150000,2024-09-10,NA,NA,100380,53340
12567,135000,2023-03-02,NA,NA,101780,54040
12568,94500,2010-09-10,NA,NA,101780,54040
12569,146500,2007-08-02,NA,NA,97510,51730
12570,94500,2003-10-27,NA,NA,98490,51100
12571,65000,2000-08-04,NA,NA,100380,53340
